Nom entreprise,Substance,Adresse Physique,Téléphone,Email
"REGROUPEMENT DES CHAUFFEURS DE CAMIONS 
BENNES DE NGEKOKH",,"Mbour , quartier Santhie, Thiès, Sénégal",774422029,
RIVERDALE RESOURCES LIMITED,,"Elisabeth House 9 Castle Street St Helier, Jersey, 
Angleterre",,
ROCAMJO SUARL,,"Quartier Pont, Tambacounda, Sénégal",777192293,
ROCHES BETONS ET OUVRAGES DU SENEGAL SARL,,"30 , Rue Tolbiac, Ely Manel Fall, Dakar",33 821 33 11,
ROKAMKO,,"76, Rue Amadou Assane Ndoye, Dakar, Sénégal",,
RSP GROUP (EST AFRICA),,"DAKAR, Sénégal",,
RSW INC.,,"1010, Rue de la Gauchetière Ouest, Bureau 500, 
Montréal, Canada",,
RUF UNIVERSEL SERVICES SARL,,"Hotel Coumba Lamb, Rufisque, Dakar",33 870 00 15,
S DOM HOLDING GOLD SARL,,"villa 1120, Ouest Foire, à coté ELTON, Dakar, Sénégal",77 642 35 67,
S&S INDUSTRIAL COMPANY LIMITED,,,,338601663 info@dakarfirst.com
SABODALA GOLD OPERATIONS SA (SGO),or,"Immeuble 2K Plaza Suite B4, 1er étage, Route du 
Méridien Président, Almadies, Dakar, Sénégal",,
SABODALA MINING COMPANY,"or, 
substances 
connexes","29, Cité Asecna-Derklé, Dakar, Sénégal",,
SABOUGNOUMA SARL,,"SARAYA, KEDOUGOU, Sénégal",,
SADIO TRADING,calcaire,"N°85, Hann Mariste, Dakar, Sénégal",77 651 22 92,
SAFIA IMPORT EXPORT,,"Villa n° 344, Ngor Virage, Dakar, Sénégal",33 820 12 06,
SAGNA GOLD,,,,775527585 sagnamichel1365@gmail.com
SAHEL INVESTMENT & CONSULTING,,"20 Rue Amadou Assane Ndoye x Saint Michel, Dakar, 
Sénégal",77 544 76 12,
SAHEL MINERALS SARL,"cu, 
substances 
connexes","N°4296, POINT E, DAKAR, Sénégal",33 827 87 46,
SAHEL MINING SERVICES SARL,silicium,"Hann Maristes, Fort B, Villa n° 07, Dakar, Sénégal",33 864 40 07,
SAKHO MAME KHADY,,,773783716,
SALAM GOLD,or,"24, Martin L. King Immeuble Sakina, App. A2 , BP.25444, 
Sénégal",338278033,
SALIOU MBAYE,,"Demeurant à Mbayakh, Thies",775359568,
SALIOU MINES INDUSTRIES ET TECHNIQUES,"sable de dune village, Bayakh, Diender, Thies, Sénégal",,77 535 95 68,smitsaliou@gmail.com
SALL PAPA SANGONE,,,775682166,
SALLA NIANG Sarl,or,"Villa 3821, Immeuble Bijouterie de l'islam, Tally Boumak, 
Pikine, DAKAR, Sénégal",77 704 59 06/ 70 560 73 56,itigathie@gmail.com
SALOUM AVICOLE,,Route des Niayes,780130490/ 768613303,
Saloum Ressources Sarl,,"Dakar, 16998, Sénégal",338596080,
SALOUM TRAIDING SERVICES-SARL,,"Thiaroye Gare Quartier Miname 01, Dakar",776485066,
SAMA GOLD,,"651, Fith Mith, Golf Sud, Dakar, Sénégal",779500428,
SAMAIPO SARL,,"R124 , CITE KEUR GORGUI, DAKAR, Sénégal",77 380 62 82,
SAMB CONSULTING,,,338644861,
SANDIARA PRESTIGE GROUP,,"Parcelle n° 115 B, Lot Zo, Zone industrielle, Mbour, Thiès, 
Sénégal",77 428 33 75,
SANTARGILE,,"Route DE L'AEROPORT LOT N°8, DAKAR, Sénégal",33 864 44 75/ 78 129 69 07,
SANTARGILE SA,,,762242559,
SAREQ GROUP,,"Point E, Canal 4, Allées Thierno Seydou Nourou TALL, 
Dakar, Sénégal",33 867 69 89,contact@sareqsn.com
SARR BOUNA,,"34,, Liberté 6 Extension , Dakar, Sénégal",,
SARR GLOBAL TRADING,,"villa n°354, Cité Belvédéré,Daliford , Dakar, Sénégal",,"2,21774E+11 babsarr2003@yahoo.fr"
SARSARA INDUSTRIES,,"Dakar, Sénégal",338202084,
SCATY INDUSTRIES,basalte,"109 RUE GALANDOU DIOUF, DAKAR, Sénégal",33 865 94 55,
SCI COSEPRIM,,"Rue 13, Avenue Blaise Diagne, Médina, Sénégal",77 561 62 09,
SDK MINING SA,,"Rue 11x12 Medina , 33 821 11 51/ 70 722 45 79, Dakar, 
Sénégal",33 821 11 51,
SECAMI,calcaire,"521, HLM Grand-yoff, Dakar, Sénégal",,
SEGIMAR SA,marbre,"almadies, Lot n°04, coté des Nations unis, Dakar, 4208, 
Sénégal",33 868 26 07,
SEMAC SA,silicium,"Mole 10, Port de pêche, Dakar, Dakar/ N°15, Route de 
l'Aéroport, Dakar, BP 45402, Sénégal",33 822 58 45/ 33 825 54 55,semacsa@orange.sn
SEMM SUARL,,776339539,,
SEN AFRICA SERVICES,,,,
SEN ITA GOLD,,"DAKAR, 17490, Sénégal",,
SENECORPORATION,,"Avenue Cheikh ibrahima NIASS, cité FADIA, Dakar, 
Sénégal",221338351003/ 221338351001,
SENEGAL DIASS MINES SUARL,,"32, centre commercial El hadji Maodo Sylla, Grande 
Mosquée, Dakar, Sénégal",77 901 86 20,
SENEGAL GOLD RECORD TRADING,,,,
SENEGAL MINERAL RESOURCES SA,"mineraux 
lourds","N°9569, Sacré coeur 3, Dakar, Sénégal",,
SENEGAL MINERGY PORT,,"21, Route , des Almadies, Dakar, Sénégal",33 820 90 05,
SENEGAL MINES,,"22, Avenue Pasteur, Dakar, Sénégal",,
SENEGAL MINING & SERVICES CORPORATE,,"72, Boulvard de la République, Dakar, Sénégal",77 850 79 90/ 33 860 78 89,africinvest71@gmail.com
SENEGAL MINING CORPORATION SA,,"7 Allée Hann Marinas, Dakar, Sénégal",774591800,
SENEGAL MINING RESOURCES,,"17, Rue Huart, Dakar, Sénégal",,
SENEGAL MINISTRY OF MINES,,,,
SENEGALAISE DE COMMERCE ET DE SERVICES,silicium,,,
SENEGALAISE DE DEVELOPPEMENT F-SY,,"Village de Saraya, Route de Moussala, KEDOUGOU, 
Sénégal",,
"SENEGALAISE DE NEGOCE ET DE PRESTATION DE 
SERVICES SARL",,"7, Nord foire, Dakar, 1806, Sénégal",33 820 20 42,
"SENEGALAISE DE VOIRIE DE TRAVAUX PUBLICS ET DE 
GENIE CIVIL",,"Km8, Boulevard du centenaire, Dakar, BP 10449, Sénégal",33 832 33 77/ 33 832 33 99,
SENEGALAISE DES INDUSTRIES,,"45 rue Raffanel, Dakar, Sénégal, Dakar, 56582, Sénégal",221338985652/ 221338223636 Sdisenegal@sentoo.sn,
SENEGALAISE DES MATERIAUX DE CONSTRUCTION,,,338 255 455,
"SENEGALAISE DES MATERIAUX MINERAUX ET 
METAUX",,"Lot n° 52, Lotissement du TF 5019/DG, Yoff virage, Dakar, 
Sénégal",77 213 54 54,
SENEGALAISE D'EXPLOITATION MINIERE,,,,338222159 talentgridservices@gmail.com
SENEGALEASE GREEN GOLD (SEGG),,GOROM II,775098098/ 774469643,
SENEGINDIA SARL,basalte,"Sébi, Ponty, Diamniadio, 20055, Sénégal",33 836 89 80/ 33 820 77 96,contact@senegindia.com
SENEMINE,,"POINT E RU KAOLACK X CANAL4, DAKAR, Sénégal",,776110101 seneminre.sn@yahoo.com
SENETRANS AFRICA BUSINESS (SETAB),,"21 Bis, Route de l'Aéroport LSS, Dakar, Sénégal",33 860 36 76/ 70 733 36 61,infosetab@gmail.com
SENFOR SARL,,"VILLA 10207, SACRE COEUR 3, VDN, DAKAR, Sénégal",,
SENGOLD COMPANY,,"Dakar, Sénégal",338203143,
SENGOLD MINING N.L.,,"11, Yoff Ranrhard 2, Dakar, Sénégal",,
SENIP SENEGAL GROUP SARL,or,"SALAM 1, GUEDIAWAYE, DAKAR, Sénégal",77 484 52 22,
SENOR GROUP,,"Castor Avenue Bourguiba x Cheich Ahmadou Bamba, 
Dakar","338241059/ 76 685 57 
11/775689710",senorgroup@gmail.com
SEN-STONES,silicium,"Lots jummelés N°54 et 55, Liberté 6 Extention, Dakar, 
Sénégal",338670412,
SENTHRAS SURl,,,,338321715 senthras@senthras.com
SERIGNE SALIOU MBACKE SARL,or,,776423567,
SESAM GOLD SARL,or,"Villa N°4, Cité Comico II VDN, DAKAR, Sénégal",77 631 72 64,
SEYE,,"Thiaroye, Dakar, Sénégal",,
SHEKINA GROUPE,,,78 136 48 63,
SIAP,,"120, Avenue Pdt Lamine Guèye, Dakar, Sénégal",33 889 07 07,
SIDIYA TOURE,,"QUARTIER DALABA, Kédougou, Sénégal",773549154,
SIMEC ENTREPRISES,,"Sacre coeur III N°52 VDN, 776393950, 
m.sarr@hotmail.com, Dakar, Sénégal",,776393950 m.sarr@hotmail.com
SINEB DAROU NAKHIME SARL,silicium,,77 575 59 09/77 638 68 22,
SINTRADIMMO SA,,"RUE PARCHAPPE IMMEUBLE FAYCAL 13 EME ETAGE APPT 
N° 04",,783095353 dakarwang@yahoo.fr
SIPRES,,"Dakar, 16211, Sénégal",,338691500 info@sipres.sn
SIRK INTERNATIONAL MINING SUARL,,"Km10, Route de Rufisque, Dakar, Sénégal",78 371 97 88/ 22377887788,
SK MINING OPERATIONS SARL,,"N° 13, Lot Artisanal, ZAC Mbao, Dakar, Sénégal",338239837/338326701,
SKY SENEGAL SUARL,,"28, Route des Almadies, Dakar, Sénégal",78 305 16 16,SENEGAL@SKYGROUP.CC
SN MINERAL MINING,,"8 Rte Du Méridien Pdt Almadies, 338201652, Dakar, 
Sénégal",338201652,
SNEPAC INTERNATIONAL SARL,,"BP 23691 Dakar Ponty, BP 23691, Sénégal",776346676,
SO.CE.MI.CA,,"Siège social: Cité Djily Mbaye, Lotissement n° 455 - Yoff 
Diamalye, DAKAR, Sénégal",,
SOBAMO TP,,,,338 205 023 contact@sobamo.com
SOCABEG SA,,"Liberté 6 extension, Route des HLM Gd Yoff, face stade 
Khar Yalla, DAKAR, Sénégal",33 869 64 63,
SOCAM SARL,,,70 450 45 15,socam@hotmail.fr
"SOCIETE ""S3D"" SARL",,"Gomba, Kédougou, kédougou, Sénégal",76 515 03 11,
"SOCIÉTÉ AFRICA TRADE AND INVESTMENT 
CONSULTING SARL",silicium,"n°18, Cité SONATEL, Dakar, Sénégal",77 177 49 78,
"SOCIETE AFRICAINE D'ACHAT DE RACHAT ET DE 
DISTRIBUTION",,"Zone Industrielle Sud , Rocade Fann , Bel-Air, Dakar, 
Sénégal",33 832 69 05,sardi@orange.sn
"SOCIETE AFRICAINE DE DEVELOPPEMENT 
ECONOMIQUE ET SOCIAL INTEGRE",,"15, Cité Adama Diop, Yoff Layéne, Dakar, Sénégal",33 820 08 66,sarl.sadesi1113@gmail.com
SOCIETE ALMUDO SARL,,,33 8825 60 92,info@almudo.sn
SOCIETE ATLANTIQUE HYDROCARBURE GROUPE,,,776387669/338232525,
SOCIETE AUXILIAIRE D'ENTREPRISE,,"Dakar - Fann, sénégal",,
SOCIETE BENKHADY BAMBARAYA SARL,or,"Bambaraya, Kédougou, Sénégal",76 687 13 19,
SOCIETE CAPITAL PLUS,silicium,,77 145 62 69,
SOCIETE CENTRALE DES TRAVAUX,laterite,,338599191,
SOCIETE CIVILE IMMOBILIERE,basalte,"13, Avenue Malick Sy, Dakar, Sénégal",33 821 30 54,scidd01@gmail.com
SOCIETE CIVILE IMMOBILIERE S.C.I.D.D,,"13, Avenue Malick SY, Dakar, Sénégal",33 821 30 54,
SOCIETE COMMERCIAL NDIABOUR NDIGAL SA,sable de dune,,77 487 80 22/ 77 442 58 72,
"SOCIETE COMMERCIALE INDUSTRIELLE 
AGROPASTORALE ET TRANSPORT",,"rue Ely Manel Fall, Sénégal",,
"SOCIETE COMPAGNIE MOUHAMADOU BEN SALIM 
SUARL",,"Quartier Nasroullahi, Médina Gounass, Sénégal",,
"SOCIETE D'AMENAGEMENT DE BATIMENT ET 
D'ETUDES GENERALES (SOCABEG)","phosphate de 
chaux","1er ETAGE, LIBERTE 6 EXTENSION, Route des HLM Gd 
Yoff, face stade Khar Yalla, DAKAR, BP 1270, Sénégal",33 869 64 63,info@socabeg.com
SOCIETE DE BATIMENT et TRAVAUX PUBLICS SUARL,sable de dune,"Route des Niayes, Face Collége Hyacinthe Thiandoum, 
Dakar, Sénégal",77 638 69 40,
SOCIETE DE BATIMENT MODERNES,,Sénégal,338305012,
"SOCIETE DE BATIMENTS ET DE TRAVAUX PUBLICS 
SARL",silicium,"Route des Niayes, face Hyacinthe Thiandoum, Dakar, 
Sénégal",77 638 69 40,
SOCIETE DE CARRIERES & MINES SARL,,"zone industrielle SODIDA 2, DAKAR, Sénégal",779630890/ 704504515,socam@hotmail.fr
Société de Commerce de Produit d'Acier,,,,
"SOCIETE DE COMMERCIALISATION DU CIMENT 
(SOCOCIM)",,"Rufisque, Sénégal",,
SOCIETE DE CONCASSAGE ET DE BETON (SO.CO.BE),,"0-80 , Hann Mariste, Dakar, Sénégal",77 154 34 00,
SOCIETE DE CONCASSAGE ET DE BETON SARL,,,78 480 66 66,
"SOCIETE DE DEVELOPPEMENT ET D'APPLICATIONS 
TECHNIQUES",,"Baie de Hann Marinas, Villa K I, Dakar, Sénégal",,
"SOCIETE DE FORAGE ET DE TRAVAUX PUBLICS 
MINING",,"villa n°9148, Sacré Coeur 3, Dakar, Sénégal",786 381 699,
SOCIETE DE GENIE CIVIL SA,,"Lot n° 12, Sotrac Mermoz, Dakar, 25036, Sénégal",33 859 07 72,
SOCIETE DE GESTION DES CARRIERES DU SENEGAL,,"Cité Sidak, Quatier Diakhao, Thiès, Sénégal",,
"SOCIETE DE NEGOCE D'INTERMEDIATION ET 
D'INVESTISSEMENT (SN2I)",,"Villa 2396/E, DIEUPPEUL II, Rue 13, Dakar, Sénégal",78 389 09 39,sn2isenegal@gmail.com
"SOCIETE DE RECHERCHE ET DE DEVELOPPEMENT DES 
MINES SA (SORED-MINES)","or, 
substances 
connexes","N°24, Cité SONATEL, Ouest Foire, BP 29595, Dakar, 
Sénégal",,
"SOCIETE DE TRAVAUX PUBLICS DE BATIMENTS ET DE 
TRANSPORTS NETTOIEMENT",laterite,,33 832 82 16,sotrapbat.net@gmail.com
SOCIETE D'EQUIPEMENT ET DE CONSTRUCTION,basalte,"Km 4,8 Boulevard du Centenaire, Rufisque",338 599 090,
SOCIETE DES MINES DE FER DE LA FALEME (MIFERSO),,"7, rue Mermoz, Dakar, BP:6082",,338490769 miferso@sento.sn
SOCIETE DES MINES DU SENEGAL (SODEMINES),or,"VILLA N°3, OUEST FOIRE, CITE DABAKH MALICK, DAKAR, 
BP 21498, Sénégal",,338 682 940 souley60@gmail.com
SOCIETE DES TERRES NEUVES SARL,,"QUARTIER GARE ROUTIERE, FACE STS, THIES, Sénégal","2,2134E+11",
SOCIETE DES TRANSPORTS ET DES TRAVAUX PUBLICS,,"Rue 1,zone industrielle, Dakar, Dakar, Sénégal",,
"SOCIETE DES TRAVAUX PUBLICS DE BATIMENTS ET DE 
TRANSPORTS NETTOIEMENT",,"Km 8.5, Route de Rufisque, Dakar, Sénégal",33 832 55 37,
"SOCIETE D'ETUDES ET DE REALISATION DES 
PHOSPHATES DE MATAM (SERPM)",,"5,Boulevard du Sud, Point E, Dakar, Sénégal",,
SOCIETE D'EXPLOITATION DE CARRIERES SUARL,,"Sangalkam, Keur Ndiaye Lo, Dakar, Sénégal",78 176 07 50,
SOCIETE D'EXPLOITATION DES CARRIERES DU BAOL,,"Khombole, Sénégal",,
"SOCIETE D'EXPLOITATION DES GISEMENTS DE 
MARBRES",,"Sacré Coeur 3 villa n°10297 , Sud VDN, Dakar, Sénégal",,
"SOCIETE D'EXPLOITATION DES MINES ET CARRIERES 
(SEMC)",,,77 663 96 66/ 338238984,
SOCIETE DIAMADA INTERNATIONAL,silicium,,78 592 22 61,
SOCIETE DIASS MINES SUARL,,"32, Centre Commercial El hadj Maodo Sylla , Dakar, 
Dakar, Sénégal",70 402 88 41,
SOCIETE D'INVESTISSEMENT INDUSTRIEL,,"Immeuble I n°6947, , Rond Point Liberté 6, DAKAR, 
Sénégal",77 597 01 98/ 77 796 17 72,groupes2i@gmail.com
SOCIETE FATOU NDOUR,,"DIASS, THIES, Sénégal",,
SOCIETE FRIBRO-MAC,,"SODIDA N°62, Dakar, Sénégal",,
SOCIETE GAILLAC-GUEYE SARL,,,,
SOCIETE GENERALE DES TRAVAUX PUBLICS,,"S94, Hann Mariste, Dakar, Dakar, Sénégal",77 666 62 56,sgtpsn@hotmail.com
SOCIETE GENERALE NDIAMBOUR NDIGAL,,"Ndiambour, Sine, Diourbel, Sénégal",77 487 80 22,
SOCIETE IMMOBILIER 3KF,,"KEUR NDIAYE LO, Dakar, Sénégal",777290733/ 73187433,
SOCIETE IMMOBILIERE AFRICAINE,,,338212500,
"SOCIETE IMMOBILIERE WAKEUR MAME CHEIKH 
IBRAHIMA FALL",,"Hlm Rufisque, en face stade ngalandou Diouf, Rufisque",,
SOCIETE INDUSTRIE AFRICAINE DES VERRES IAV-SA,,Dakar senegal,,
"SOCIETE INDUSTRIELLE AGRO-ALIMENTAIRE POUR 
L'AFRIQUE DE L'OUEST",,"48, Rue Abdou Karim Bourgi, 221776335195 
/221778185088, exportbarry@yahoo.fr, Dakar, 14224 
Peytavin, Sénégal",221776335195/ 221778185088 exportbarry@yahoo.fr,
"SOCIETE INDUSTRIELLE DE TRAITEMENT D'ORDURES 
MENAGERES (SITROM)",,"n° 5386, Sicap Liberté 5, Dakar, Dakar, Sénégal",33 824 08 92,hadaafrique@yahoo.fr
"SOCIETE INDUSTRIELLE ET COMMERCIALE DE 
L'AUTOMOBILE DU SENEGAL (SICAS)",calcaire,"Km 2,5 Boulevard du Centenaire de la Commune de 
Dakar, Dakar, BP 458, Sénégal",338490191,
SOCIETE INDUSTRIELLE ET MINIERE SUARL,,"Hann Mariste, Immeuble Q2, Appartement B2, Dakar, 
Sénégal",,
SOCIETE INTERNATIONALE DES BIENS ET SERVICES,,"130, Boulevard du Centenaire, Dakar, Sénégal",,
SOCIETE MINIERE DJIBREIL DIAGNE MON PARENT,,,77 636 06 51,
SOCIETE MINIERE DU DIOBASSE SA,,"Cité Hamo, Villa n°IS/10 Cambérène BP.10745 Dakar Fann 
Sénégal, BP.10745 Dakar Fann Sénégal, Sénégal",,
SOCIETE MINIERE INDUSTRIELLE ET COMMERCIALE,,,338 548 283,
SOCIETE NDIGUEULE FALL,laterite,,7 792 130 730,
"SOCIETE OUEST AFICAINE DE CONCASSAGE (SOAC) 
SARL",,"7761, Mermoz 1ere porte, Dakar, Dakar, Sénégal",,15146045407 soac.sarl@gmail.com
SOCIETE POLYMARBRE BZOU FES,,"Cité Lobatt Fall, n° 21, Pikine, Sénégal",,
SOCIETE QUMBA MORT ET COMPAGNIE,,,,778911582 madasamb@yahoo.fr
SOCIETE SEN AFRICA SERVICES,,,,
SOCIETE SENEGALAISE DE CHAUX,,"Siège Sociale Cité Djily Mbaye,N°96, RC N° : SNDKR 2008 
B7995, Sénégal",+221 77 307 24 11,bassirou@bluewin.ch
"SOCIETE SENEGALAISE DE COMMERCE ET DE 
SERVICES SARL",,Route des Pères Mariste N°27,77 630 72 72/ 77 650 43 08,sosecositalinea@gmail.com
SOCIETE SENEGALAISE DE CONCASSAGE  (SSC),,"Sampathé, Thiès, Sénégal, Sénégal",764651942/ 776916593,
"SOCIETE SENEGALAISE DE CONSTRUCTION ET D 
'AMENAGEMENT",,,,776398794 elimanehamidinesy@yahoo.fr
"SOCIETE SENEGALAISE DE CONSTRUCTION ET DE 
PROMOTION IMMOBILIERE",,,,338240999 scpisen@gmail.com
"SOCIETE SENEGALAISE DE DEVELOPPEMENT ET DE 
PRODUCTION MINIERE ET SERVICE (SDPR MINES) 
SUARL",,"Lot n°234, Qrt Kasnack, Kaolack, Kaolack, Sénégal",78 143 17 55,
SOCIETE SENEGALAISE DE GRAVIERS SARL,silicium,"Villa n°211, Lot 8, Almadies, Dakar, Sénégal",221 33 825 91 65,
"SOCIETE SENEGALAISE DE MATERAUX CARRIERES ET 
NEGOCE",,,339577526/ 776399056,
SOCIETE SENEGALAISE DE TRANSPORT SUR CHANTIER,,"333, Guédiawaye Wakhinane, Dakar, Sénégal",77 237 28 72,
SOCIETE SENEGALAISE DES MINES ET CARRIERES,,"13, CITE DOUANES, OUEST FOIRE, DAKAR, Sénégal",33 820 99 60,
SOCIETE SENEGALAISE DES PHOSPHATES DE THIES,,"14, Avenue Borgnis-Desbordes, Dakar, Sénégal",,
"SOCIETE SENEGALAISE DES TRANSPORTS, TRAVAUX 
HYDRAULIQUES, ROUTES ET ASSAISSEMENTS",,"km 8.5 Boulevard du centenaire, Dakar, Sénégal",,338 321 715 senthras@senthras.com
"SOCIETE SENEGALAISE D'EXPLOITATION DE 
CARRIERES (SOSECAR)",basalte,"Rue Ousmane Diop, Rufisque, Sénégal",,
"SOCIETE SENEGALAISE D'EXPLOITATION ET DE 
TRANSPORT DES PRODUITS MINIERS SARL",,"VILLA N°353, Cité Darou Salam Keur Massar, DAKAR, 
Sénégal",78 129 48 82/ 78 129 48 81,
SOCIETE SENEGALAISE D'INTERMEDIATION,,Bp 19675,338 371 970,
SOCIETE TIMITA TECHNO SERVICES,silicium,"villa 6048, Sicap Liberté 6, Dakar, Sénégal",77 509 85 87,
SOCIETE TOUBA NIBODJI SUARL,,"Marché Central, Kédougou, Sénégal",77 623 15 15,
SOCIETE WAAGAAN BTP SARL,silicium,,77 560 77 99,waagaanBPT@gmail.com
SOCIETE ZHENGWEI TECHNIQUE SENEGAL (WIETC),,"Villa 211, Lot, Almadies, Dakar, Sénégal",78 388 28 79,
SOCIETE ZZZZ,,"103, Liberté 6 Extension, Dakar, Sénégal",,
"SOCIETED'INVESTISSEMENT DE NEGOCE ET DE 
BAMIMENT",,,"2,21776E+11",
"SOCIETES DE FORAGES ET DES TRAVAUX PUBLICS 
(SFTP)",,"5e étage, Immeuble Numero UNO, , Liberté 6 Extension, 
DAKAR, Sénégal",776391226/ 338676607,
SOCODIS INTERNATIONAL,,"CICES FOIRE, 1ere étage Immeuble GMC, Appartement 
1A, Dakar, Sénégal/ Cité Ainoumadji, N°05 AC, Keur 
Massar, DAKAR, Sénégal",77 549 92 45/ 77 445 41 57,
SODEMINES,or,"villa N°3, BP 21498",,
SODIPROSEN SARL,,"68, Cité Keur Damel, Dakar, Dakar, Sénégal",33 855 28 00,info@sodiprosen.com
SOLYA INVESTMENTS SARL,,"Place de France, , Thiès, Sénégal",339511020,
SOMEF,,"Dakar, Sénégal",,338237113 somef@orange.sn
SOMICAS,,"31, Avenue Roume, Dakar, Sénégal",,
SOMINES GRANULATS SA,grès,"Thionakh, lot 17, Dakar, Sénégal",773929395,
SONKO ET FILS SARL,or,"cité TOBAGO, VDN VILLA N° 5, Dakar, Sénégal",338274301/ 301069375,Sonko.fils@yahoo.fr
SONSORTIUM PETROMIR & PETROLINES,,"2636, BOULEVARD MARTIN LUTHER KING, CORNICHE 
OUEST, DAKAR, Sénégal","2,21776E+11","smcisse@orange.sn, 
smcisse44@gmail.sn"
SOREXMINE SUARL,or,"N°9, Quartier Gomba, KEDOUGOU, Sénégal",77 525 79 26,
SOSEMIC SARL,silicium,"13, Cité Douanes, Ouest Foire, Dakar, Sénégal",33 820 99 60,caef caf@orange.sn
SOTRACOM SA,,,33 869 07 67,sotracomsa@sotracomsa.sn
SOYA GOLD SARL,,"Villa n°8310, Sacré Coeur I, Sénégal",78 116 66 66/ 77 369 99 86,soyagold2017@gmail.com
SOZAMINES,,"QUARTIER CHEICKH ANTA MBACKE, DIOURBEL, 
DIOURBEL, Sénégal",338653738,
SP INTERNATIONAL SARL,,"N°40, Sud Foire, en face College MIKADO, Dakar, Sénégal",774515123,
SPGCC SARL,,"7601 PIKINE LANSAR, DAKAR, Sénégal",77 447 72 48,
SPINTECH,,"6, Cité COMICO, VDN, Dakar, Sénégal",33 827 98 33,
SSL CAPITAL INVESTMENT,,"173 plne st, unit 1-0, Portland Maine 04102 USA, USA",+221 77 919 91 42,
STAM BDA SARL,,"HLM Mariste, Villa Z/132, Dakar, Sénégal",338323516/ 778848614,stambisiness@gmail.com
STE APANGUENSSO SUARL,,"Relais 82 , Mbour, Thiès, Sénégal",76 682 57 90,
STRATEX-EMC SA,,,338699989,
SUXALY SINE,,"Ouakam, QRT Toglou, Dakar, Sénégal",77 657 93 25,
SYFARO MINING COMPANY SUARL,,"171 Cité des Impots et Domaines, Sénégal",77 146 79 37,
SYLLA PRESTATION SERVICES SARL,,"OUEST FOIRE, Lot n°8, Cité Mame Rane, Dakar, Sénégal",33 865 01 86,
SYMPATIC SERVICE NEW BUSINESS TRADING,,,77 626 50 10,sympaticservices@gmail.com
SYPROM SA,,"101, avenue Peytavin , Dakar",,
"TABA AGRICULTURE CONSULTING INFRASTRUCTURE 
AND MINING (TAACIM) SUARL",,,77 183 80 21/ 77 562 85 40,esall@taacim.com
TABOU SERVICES,,"53, avenue Pdt Lamine Gueye, Dakar, Dakar, Sénégal",,tabouservices@gmail.com
TAMBAKUMALA SARL,,,779535828,
Tamil Mines SARL,,"47, Rue de Thiong, Dakar, Sénégal",77 374 57 10,
TAN SUARL,,"Rufisque, Dakar, Sénégal",,
TANOR SOLUTIONS INDUSTRIELLES,,"n°9, Cité Port, Avenue Cheikh Ahmadou Bamba Mbacké, 
Dakar, Sénégal",77 237 33 22,bdieng@tanorsas.sn
TAYSIR SARL,,"n° 103, hml grand yoff , zone commerciale bis, Dakar, 
Sénégal",77 288 24 03,
TECHNODIS SARL,,"Sicap, Liberté 5, villa n° 5452, Dakar, Sénégal",33 850 48 89,
TECHNOLOGIES CONSULTING SERVICES,,18 sandiniery X vincens BP 3941 Dakar senegal,,338898881 tcscommercial@tcs.sn
TERANGA Contractor,,,77 713 27 33/ 77 430 75 57,terangacontractors@gmail.com
TERANGAMINE,,"N°798, HLM Grand Yoff, Dakar, Sénégal",,
TEST_SOCIETE,,"HLM 5, Dakar, Sénégal",,338276431 test@yahoo.fr
TETACAR,,"RUE 3 X B, POINT E, Dakar, 16874 DAKAR, Sénégal","2,21339E+11",
TEYLIOM LOGISTICS SENEGAL,,"167, Avenue lamine Gueye, X place Soweto, Dakar, 
Sénégal",33 829 62 62,
THERMO LOGIC AFRICA SARL,,"Liberté 06 Extension, Dakar, Sénégal",77 596 62 58,
THOCOMAR,,"5, Rue Mage x Rue Parchappe, PO.BOX 1781, Dakar, 
Sénégal",338892626/ 338892622,thocomar.shipping@gmail.com
TOPA TOOL,,"Quartier Dinguessou, KEDOUGOU, Sénégal",77 333 14 38,
TOUBA AGROPOLE SARL,,"Appt 210, 3ème étage, Résidence Khouma, Ouest Foire, 
Dakar, Sénégal",77 644 44 44,
TOUBA BAMBILOR IMMOBILIER SARL,,,33 950 11 86/ 77 508 32 89,assane beye@gmail.com
TOUBA DAROU KARIM INDUSTRIE,,,77 701 79 45,
TOUBA DIALIBATOU PRESTIGE SUARL,,"2894 B, DIEUPPEUL 4, DAKAR, Sénégal",338 217 802,
TOUBA GUEDE IMMOBILIER,,PIKINE KHOUROUNAR,,
TOUBA MATERIAUX SARL,,"villa n°9831, Sacré Coeur III, Dakar, Dakar, 57 bld 28, 
Sénégal",33 868 95 99/ 33 978 27 91,toubamat@orange.sn
TRANSPORT AMADOU DIEYE,,,33 939 54 20/ 33 939 54 30,
TRANSPORTS AHMED DJOUMA GAZAL ET FILS,,"km 9, Bd du Centenaire , Dakar, BP 458, Sénégal",33 832 91 40/ 33 832 15 46,adgazal@sentoo.sn
TRIYANGS INTERNATIONAL MINING GROUP SA,,"Boulevard Martin luther King Fann Mermoz, BP: 2191, 
Dakar, Sénégal",78 181 21 58/784302088,triyangsmining@gmail.com
TSENG GOLD GROUP,,"LOT N018 SODIDA, DAKAR, Sénégal",77 717 17 49,
TSG MINING COMPANY SARL,,DAKAR,,
